t,x,y,z,speed
1.28,77.544,7.144,49.6369,67.8844
1.29,78.142,7.192,49.9536,67.8386
1.3,78.74,7.24,50.2693,67.7929
1.31,79.338,7.288,50.584,67.7472
1.32,79.936,7.336,50.8978,67.7017
1.33,80.534,7.384,51.2106,67.6563
1.34,81.132,7.432,51.5224,67.611
1.35,81.73,7.48,51.8332,67.5658
1.36,82.328,7.528,52.143,67.5207
1.37,82.926,7.576,52.4519,67.4758
1.38,83.524,7.624,52.7597,67.4309
1.39,84.122,7.672,53.0666,67.3862
1.4,84.72,7.72,53.3725,67.3416
1.41,85.318,7.768,53.6775,67.2971
1.42,85.916,7.816,53.9814,67.2527
1.43,86.514,7.864,54.2844,67.2084
1.44,87.112,7.912,54.5864,67.1642
1.45,87.71,7.96,54.8874,67.1202
1.46,88.308,8.008,55.1874,67.0763
1.47,88.906,8.056,55.4864,67.0324
1.48,89.504,8.104,55.7845,66.9887
1.49,90.102,8.152,56.0816,66.9451
1.5,90.7,8.2,56.3777,66.9017
1.51,91.298,8.248,56.6728,66.8583
1.52,91.896,8.296,56.9669,66.8151
1.53,92.494,8.344,57.2601,66.7719
1.54,93.092,8.392,57.5523,66.7289
1.55,93.69,8.44,57.8435,66.686
1.56,94.288,8.488,58.1337,66.6432
1.57,94.886,8.536,58.4229,66.6006
1.58,95.484,8.584,58.7112,66.558
1.59,96.082,8.632,58.9984,66.5156
1.6,96.68,8.68,59.2847,66.4733
1.61,97.278,8.728,59.57,66.4311
1.62,97.876,8.776,59.8544,66.389
1.63,98.474,8.824,60.1377,66.3471
1.64,99.072,8.872,60.4201,66.3052
1.65,99.67,8.92,60.7015,66.2635
1.66,100.268,8.968,60.9819,66.2219
1.67,100.866,9.016,61.2613,66.1805
1.68,101.464,9.064,61.5397,66.1391
1.69,102.062,9.112,61.8172,66.0979
1.7,102.66,9.16,62.0937,66.0567
1.71,103.258,9.208,62.3692,66.0157
1.72,103.856,9.256,62.6437,65.9749
1.73,104.454,9.304,62.9172,65.9341
1.74,105.052,9.352,63.1898,65.8935
1.75,105.65,9.4,63.4613,65.8529
1.76,106.248,9.448,63.7319,65.8125
1.77,106.846,9.496,64.0016,65.7723
1.78,107.444,9.544,64.2702,65.7321
1.79,108.042,9.592,64.5378,65.6921
1.8,108.64,9.64,64.8045,65.6522
1.81,109.238,9.688,65.0702,65.6124
1.82,109.836,9.736,65.3349,65.5727
1.83,110.434,9.784,65.5986,65.5332
1.84,111.032,9.832,65.8614,65.4938
1.85,111.63,9.88,66.1231,65.4545
1.86,112.228,9.928,66.3839,65.4153
1.87,112.826,9.976,66.6437,65.3763
1.88,113.424,10.024,66.9026,65.3373
1.89,114.022,10.072,67.1604,65.2985
1.9,114.62,10.12,67.4173,65.2599
1.91,115.218,10.168,67.6731,65.2213
1.92,115.816,10.216,67.928,65.1829
1.93,116.414,10.264,68.1819,65.1446
1.94,117.012,10.312,68.4349,65.1064
1.95,117.61,10.36,68.6868,65.0684
1.96,118.208,10.408,68.9378,65.0305
1.97,118.806,10.456,69.1878,64.9927
1.98,119.404,10.504,69.4368,64.955
1.99,120.002,10.552,69.6848,64.9174
2,120.6,10.6,69.9319,64.88
2.01,121.198,10.648,70.178,64.8427
2.02,121.796,10.696,70.4231,64.8056
2.03,122.394,10.744,70.6672,64.7685
2.04,122.992,10.792,70.9103,64.7316
2.05,123.59,10.84,71.1524,64.6948
2.06,124.188,10.888,71.3936,64.6582
2.07,124.786,10.936,71.6338,64.6217
2.08,125.384,10.984,71.873,64.5853
2.09,125.982,11.032,72.1112,64.549
2.1,126.58,11.08,72.3484,64.5129
2.11,127.178,11.128,72.5847,64.4768
2.12,127.776,11.176,72.82,64.441
2.13,128.374,11.224,73.0543,64.4052
2.14,128.972,11.272,73.2876,64.3696
2.15,129.57,11.32,73.5199,64.3341
2.16,130.168,11.368,73.7513,64.2987
2.17,130.766,11.416,73.9817,64.2635
2.18,131.364,11.464,74.211,64.2284
2.19,131.962,11.512,74.4395,64.1934
2.2,132.56,11.56,74.6669,64.1586
2.21,133.158,11.608,74.8933,64.1239
2.22,133.756,11.656,75.1188,64.0893
2.23,134.354,11.704,75.3433,64.0549
2.24,134.952,11.752,75.5668,64.0205
2.25,135.55,11.8,75.7893,63.9864
2.26,136.148,11.848,76.0109,63.9523
2.27,136.746,11.896,76.2314,63.9184
2.28,137.344,11.944,76.451,63.8846
2.29,137.942,11.992,76.6696,63.851
2.3,138.54,12.04,76.8872,63.8174
2.31,139.138,12.088,77.1039,63.784
2.32,139.736,12.136,77.3195,63.7508
2.33,140.334,12.184,77.5342,63.7177
2.34,140.932,12.232,77.7479,63.6847
2.35,141.53,12.28,77.9606,63.6518
2.36,142.128,12.328,78.1724,63.6191
2.37,142.726,12.376,78.3831,63.5865
2.38,143.324,12.424,78.5929,63.5541
2.39,143.922,12.472,78.8017,63.5218
