t,x,y,z,speed
6.43,385.514,31.864,82.8976,62.8551
6.44,386.112,31.912,82.7091,62.8845
6.45,386.71,31.96,82.5196,62.9139
6.46,387.308,32.008,82.3291,62.9436
6.47,387.906,32.056,82.1377,62.9733
6.48,388.504,32.104,81.9452,63.0032
6.49,389.102,32.152,81.7518,63.0332
6.5,389.7,32.2,81.5574,63.0634
6.51,390.298,32.248,81.362,63.0937
6.52,390.896,32.296,81.1657,63.1242
6.53,391.494,32.344,80.9683,63.1548
6.54,392.092,32.392,80.77,63.1855
6.55,392.69,32.44,80.5707,63.2163
6.56,393.288,32.488,80.3704,63.2473
6.57,393.886,32.536,80.1692,63.2785
6.58,394.484,32.584,79.9669,63.3097
6.59,395.082,32.632,79.7637,63.3411
6.6,395.68,32.68,79.5595,63.3727
6.61,396.278,32.728,79.3543,63.4044
6.62,396.876,32.776,79.1481,63.4362
6.63,397.474,32.824,78.941,63.4681
6.64,398.072,32.872,78.7328,63.5002
6.65,398.67,32.92,78.5237,63.5324
6.66,399.268,32.968,78.3136,63.5648
6.67,399.866,33.016,78.1025,63.5973
6.68,400.464,33.064,77.8905,63.6299
6.69,401.062,33.112,77.6774,63.6627
6.7,401.66,33.16,77.4634,63.6956
6.71,402.258,33.208,77.2484,63.7286
6.72,402.856,33.256,77.0324,63.7618
6.73,403.454,33.304,76.8155,63.7951
6.74,404.052,33.352,76.5975,63.8285
6.75,404.65,33.4,76.3786,63.8621
6.76,405.248,33.448,76.1587,63.8957
6.77,405.846,33.496,75.9378,63.9296
6.78,406.444,33.544,75.7159,63.9635
6.79,407.042,33.592,75.4931,63.9976
6.8,407.64,33.64,75.2693,64.0319
6.81,408.238,33.688,75.0444,64.0662
6.82,408.836,33.736,74.8187,64.1007
6.83,409.434,33.784,74.5919,64.1353
6.84,410.032,33.832,74.3641,64.1701
6.85,410.63,33.88,74.1354,64.205
6.86,411.228,33.928,73.9057,64.24
6.87,411.826,33.976,73.675,64.2751
6.88,412.424,34.024,73.4433,64.3104
6.89,413.022,34.072,73.2106,64.3458
6.9,413.62,34.12,72.977,64.3813
6.91,414.218,34.168,72.7424,64.417
6.92,414.816,34.216,72.5068,64.4528
6.93,415.414,34.264,72.2702,64.4887
6.94,416.012,34.312,72.0326,64.5248
6.95,416.61,34.36,71.7941,64.561
6.96,417.208,34.408,71.5546,64.5973
6.97,417.806,34.456,71.3141,64.6337
6.98,418.404,34.504,71.0726,64.6703
6.99,419.002,34.552,70.8301,64.707
7,419.6,34.6,70.5866,64.7438
7.01,420.198,34.648,70.3422,64.7807
7.02,420.796,34.696,70.0968,64.8178
7.03,421.394,34.744,69.8504,64.855
7.04,421.992,34.792,69.603,64.8924
7.05,422.59,34.84,69.3547,64.9298
7.06,423.188,34.888,69.1053,64.9674
7.07,423.786,34.936,68.855,65.0051
7.08,424.384,34.984,68.6037,65.043
7.09,424.982,35.032,68.3515,65.0809
7.1,425.58,35.08,68.0982,65.119
7.11,426.178,35.128,67.844,65.1572
7.12,426.776,35.176,67.5887,65.1956
7.13,427.374,35.224,67.3325,65.234
7.14,427.972,35.272,67.0753,65.2726
7.15,428.57,35.32,66.8172,65.3113
7.16,429.168,35.368,66.558,65.3502
7.17,429.766,35.416,66.2979,65.3891
7.18,430.364,35.464,66.0368,65.4282
7.19,430.962,35.512,65.7747,65.4674
7.2,431.56,35.56,65.5116,65.5068
7.21,432.158,35.608,65.2476,65.5462
7.22,432.756,35.656,64.9826,65.5858
7.23,433.354,35.704,64.7165,65.6255
7.24,433.952,35.752,64.4495,65.6653
7.25,434.55,35.8,64.1816,65.7053
7.26,435.148,35.848,63.9126,65.7454
7.27,435.746,35.896,63.6427,65.7856
7.28,436.344,35.944,63.3718,65.8259
7.29,436.942,35.992,63.0999,65.8663
7.3,437.54,36.04,62.827,65.9069
7.31,438.138,36.088,62.5531,65.9475
7.32,438.736,36.136,62.2783,65.9883
7.33,439.334,36.184,62.0025,66.0293
7.34,439.932,36.232,61.7257,66.0703
7.35,440.53,36.28,61.4479,66.1115
7.36,441.128,36.328,61.1691,66.1527
7.37,441.726,36.376,60.8894,66.1941
7.38,442.324,36.424,60.6086,66.2357
7.39,442.922,36.472,60.3269,66.2773
7.4,443.52,36.52,60.0442,66.319
7.41,444.118,36.568,59.7606,66.3609
7.42,444.716,36.616,59.4759,66.4029
7.43,445.314,36.664,59.1903,66.445
7.44,445.912,36.712,58.9037,66.4873
7.45,446.51,36.76,58.6161,66.5296
7.46,447.108,36.808,58.3275,66.5721
7.47,447.706,36.856,58.0379,66.6147
7.48,448.304,36.904,57.7474,66.6574
7.49,448.902,36.952,57.4559,66.7002
7.5,449.5,37,57.1634,66.7431
7.51,450.098,37.048,56.8699,66.7862
7.52,450.696,37.096,56.5754,66.8293
7.53,451.294,37.144,56.28,66.8726
7.54,451.892,37.192,55.9836,66.916
7.55,452.49,37.24,55.6862,66.9595
7.56,453.088,37.288,55.3878,67.0031
7.57,453.686,37.336,55.0884,67.0469
7.58,454.284,37.384,54.7881,67.0908
7.59,454.882,37.432,54.4867,67.1347
7.6,455.48,37.48,54.1844,67.1788
7.61,456.078,37.528,53.8811,67.223
7.62,456.676,37.576,53.5769,67.2673
7.63,457.274,37.624,53.2716,67.3118
7.64,457.872,37.672,52.9654,67.3563
7.65,458.47,37.72,52.6582,67.401
7.66,459.068,37.768,52.35,67.4457
7.67,459.666,37.816,52.0408,67.4906
7.68,460.264,37.864,51.7306,67.5356
7.69,460.862,37.912,51.4195,67.5807
7.7,461.46,37.96,51.1074,67.6259
7.71,462.058,38.008,50.7943,67.6713
7.72,462.656,38.056,50.4802,67.7167
7.73,463.254,38.104,50.1651,67.7623
7.74,463.852,38.152,49.8491,67.808
7.75,464.45,38.2,49.532,67.8537
7.76,465.048,38.248,49.214,67.8996
7.77,465.646,38.296,48.8951,67.9456
7.78,466.244,38.344,48.5751,67.9917
7.79,466.842,38.392,48.2541,68.0379
7.8,467.44,38.44,47.9322,68.0843
7.81,468.038,38.488,47.6093,68.1307
7.82,468.636,38.536,47.2854,68.1773
7.83,469.234,38.584,46.9605,68.2239
7.84,469.832,38.632,46.6347,68.2707
7.85,470.43,38.68,46.3078,68.3176
7.86,471.028,38.728,45.98,68.3646
7.87,471.626,38.776,45.6512,68.4117
7.88,472.224,38.824,45.3215,68.4589
7.89,472.822,38.872,44.9907,68.5062
7.9,473.42,38.92,44.659,68.5536
7.91,474.018,38.968,44.3262,68.6011
7.92,474.616,39.016,43.9925,68.6487
7.93,475.214,39.064,43.6578,68.6965
7.94,475.812,39.112,43.3222,68.7443
7.95,476.41,39.16,42.9855,68.7923
7.96,477.008,39.208,42.6479,68.8403
7.97,477.606,39.256,42.3093,68.8885
7.98,478.204,39.304,41.9697,68.9368
7.99,478.802,39.352,41.6291,68.9852
8,479.4,39.4,41.2876,69.0336
8.01,479.998,39.448,40.9451,69.0822
8.02,480.596,39.496,40.6016,69.1309
8.03,481.194,39.544,40.2571,69.1797
8.04,481.792,39.592,39.9116,69.2286
8.05,482.39,39.64,39.5651,69.2776
8.06,482.988,39.688,39.2177,69.3267
8.07,483.586,39.736,38.8693,69.376
8.08,484.184,39.784,38.5199,69.4253
8.09,484.782,39.832,38.1695,69.4747
8.1,485.38,39.88,37.8181,69.5242
8.11,485.978,39.928,37.4658,69.5739
8.12,486.576,39.976,37.1125,69.6236
8.13,487.174,40.024,36.7582,69.6734
8.14,487.772,40.072,36.4029,69.7234
8.15,488.37,40.12,36.0466,69.7734
8.16,488.968,40.168,35.6894,69.8235
8.17,489.566,40.216,35.3312,69.8738
8.18,490.164,40.264,34.9719,69.9241
8.19,490.762,40.312,34.6118,69.9746
8.2,491.36,40.36,34.2506,70.0251
8.21,491.958,40.408,33.8884,70.0758
8.22,492.556,40.456,33.5253,70.1265
8.23,493.154,40.504,33.1612,70.1774
8.24,493.752,40.552,32.7961,70.2283
8.25,494.35,40.6,32.43,70.2794
8.26,494.948,40.648,32.063,70.3305
8.27,495.546,40.696,31.6949,70.3818
8.28,496.144,40.744,31.3259,70.4331
8.29,496.742,40.792,30.9559,70.4846
8.3,497.34,40.84,30.5849,70.5361
8.31,497.938,40.888,30.213,70.5877
8.32,498.536,40.936,29.84,70.6395
8.33,499.134,40.984,29.4661,70.6913
8.34,499.732,41.032,29.0912,70.7433
8.35,500.33,41.08,28.7153,70.7953
8.36,500.928,41.128,28.3385,70.8474
8.37,501.526,41.176,27.9606,70.8997
8.38,502.124,41.224,27.5818,70.952
8.39,502.722,41.272,27.202,71.0044
8.4,503.32,41.32,26.8212,71.057
8.41,503.918,41.368,26.4394,71.1096
8.42,504.516,41.416,26.0567,71.1623
8.43,505.114,41.464,25.6729,71.2151
8.44,505.712,41.512,25.2882,71.268
8.45,506.31,41.56,24.9025,71.321
8.46,506.908,41.608,24.5158,71.3741
8.47,507.506,41.656,24.1282,71.4273
8.48,508.104,41.704,23.7395,71.4806
8.49,508.702,41.752,23.3499,71.534
8.5,509.3,41.8,22.9593,71.5875
8.51,509.898,41.848,22.5677,71.641
8.52,510.496,41.896,22.1752,71.6947
8.53,511.094,41.944,21.7816,71.7485
8.54,511.692,41.992,21.3871,71.8023
8.55,512.29,42.04,20.9916,71.8563
8.56,512.888,42.088,20.5951,71.9103
8.57,513.486,42.136,20.1977,71.9644
8.58,514.084,42.184,19.7992,72.0187
8.59,514.682,42.232,19.3998,72.073
8.6,515.28,42.28,18.9994,72.1274
8.61,515.878,42.328,18.598,72.1819
8.62,516.476,42.376,18.1956,72.2365
8.63,517.074,42.424,17.7923,72.2912
8.64,517.672,42.472,17.3879,72.346
8.65,518.27,42.52,16.9826,72.4008
8.66,518.868,42.568,16.5763,72.4558
8.67,519.466,42.616,16.169,72.5109
8.68,520.064,42.664,15.7608,72.566
8.69,520.662,42.712,15.3515,72.6212
8.7,521.26,42.76,14.9413,72.6766
8.71,521.858,42.808,14.5301,72.732
8.72,522.456,42.856,14.1179,72.7875
8.73,523.054,42.904,13.7048,72.8431
8.74,523.652,42.952,13.2906,72.8988
8.75,524.25,43,12.8755,72.9546
8.76,524.848,43.048,12.4594,73.0104
8.77,525.446,43.096,12.0423,73.0664
8.78,526.044,43.144,11.6242,73.1224
8.79,526.642,43.192,11.2052,73.1786
8.8,527.24,43.24,10.7852,73.2348
8.81,527.838,43.288,10.3641,73.2911
8.82,528.436,43.336,9.94216,73.3475
8.83,529.034,43.384,9.51918,73.404
8.84,529.632,43.432,9.09523,73.4605
8.85,530.23,43.48,8.67029,73.5172
8.86,530.828,43.528,8.24438,73.5739
8.87,531.426,43.576,7.81748,73.6308
8.88,532.024,43.624,7.3896,73.6877
8.89,532.622,43.672,6.96074,73.7447
8.9,533.22,43.72,6.5309,73.8018
8.91,533.818,43.768,6.10008,73.859
8.92,534.416,43.816,5.66828,73.9162
8.93,535.014,43.864,5.2355,73.9736
8.94,535.612,43.912,4.80173,74.031
8.95,536.21,43.96,4.36699,74.0885
8.96,536.808,44.008,3.93126,74.1461
8.97,537.406,44.056,3.49456,74.2038
8.98,538.004,44.104,3.05687,74.2616
8.99,538.602,44.152,2.6182,74.3195
9,539.2,44.2,2.17855,74.3774
9.01,539.798,44.248,1.73792,74.4355
9.02,540.396,44.296,1.29631,74.4936
9.03,540.994,44.344,0.853714,74.5518
9.04,541.592,44.392,0.41014,74.61
9.05,542.19,44.44,-0.034415,74.6684
9.06,542.788,44.488,-0.479951,74.7269
9.07,543.386,44.536,-0.926468,74.7854
9.08,543.984,44.584,-1.37397,74.844
9.09,544.582,44.632,-1.82245,74.9027
9.1,545.18,44.68,-2.27191,74.9615
9.11,545.778,44.728,-2.72235,75.0203
9.12,546.376,44.776,-3.17377,75.0793
9.13,546.974,44.824,-3.62617,75.1383
9.14,547.572,44.872,-4.07956,75.1974
9.15,548.17,44.92,-4.53392,75.2566
9.16,548.768,44.968,-4.98927,75.3159
9.17,549.366,45.016,-5.44559,75.3752
9.18,549.964,45.064,-5.9029,75.4346
9.19,550.562,45.112,-6.36119,75.4942
9.2,551.16,45.16,-6.82046,75.5538
9.21,551.758,45.208,-7.28071,75.6134
9.22,552.356,45.256,-7.74194,75.6732
9.23,552.954,45.304,-8.20416,75.733
9.24,553.552,45.352,-8.66735,75.7929
9.25,554.15,45.4,-9.13153,75.8529
9.26,554.748,45.448,-9.59668,75.913
9.27,555.346,45.496,-10.0628,75.9731
9.28,555.944,45.544,-10.5299,76.0334
9.29,556.542,45.592,-10.998,76.0937
9.3,557.14,45.64,-11.4671,76.1541
9.31,557.738,45.688,-11.9372,76.2145
9.32,558.336,45.736,-12.4082,76.2751
9.33,558.934,45.784,-12.8802,76.3357
9.34,559.532,45.832,-13.3532,76.3964
9.35,560.13,45.88,-13.8272,76.4572
9.36,560.728,45.928,-14.3022,76.518
9.37,561.326,45.976,-14.7781,76.5789
9.38,561.924,46.024,-15.2551,76.64
9.39,562.522,46.072,-15.733,76.701
9.4,563.12,46.12,-16.2119,76.7622
9.41,563.718,46.168,-16.6917,76.8234
9.42,564.316,46.216,-17.1726,76.8848
9.43,564.914,46.264,-17.6544,76.9462
9.44,565.512,46.312,-18.1372,77.0076
9.45,566.11,46.36,-18.621,77.0692
9.46,566.708,46.408,-19.1058,77.1308
9.47,567.306,46.456,-19.5916,77.1925
9.48,567.904,46.504,-20.0783,77.2542
9.49,568.502,46.552,-20.566,77.3161
9.5,569.1,46.6,-21.0547,77.378
9.51,569.698,46.648,-21.5444,77.44
9.52,570.296,46.696,-22.0351,77.5021
9.53,570.894,46.744,-22.5267,77.5642
9.54,571.492,46.792,-23.0193,77.6264
9.55,572.09,46.84,-23.5129,77.6887
9.56,572.688,46.888,-24.0075,77.7511
9.57,573.286,46.936,-24.5031,77.8135
9.58,573.884,46.984,-24.9996,77.876
9.59,574.482,47.032,-25.4972,77.9386
9.6,575.08,47.08,-25.9957,78.0013
9.61,575.678,47.128,-26.4952,78.064
9.62,576.276,47.176,-26.9956,78.1268
9.63,576.874,47.224,-27.4971,78.1897
9.64,577.472,47.272,-27.9995,78.2527
9.65,578.07,47.32,-28.5029,78.3157
9.66,578.668,47.368,-29.0073,78.3788
9.67,579.266,47.416,-29.5127,78.4419
9.68,579.864,47.464,-30.0191,78.5052
9.69,580.462,47.512,-30.5264,78.5685
9.7,581.06,47.56,-31.0347,78.6319
9.71,581.658,47.608,-31.544,78.6953
9.72,582.256,47.656,-32.0543,78.7589
9.73,582.854,47.704,-32.5656,78.8224
9.74,583.452,47.752,-33.0778,78.8861
9.75,584.05,47.8,-33.5911,78.9499
9.76,584.648,47.848,-34.1053,79.0137
9.77,585.246,47.896,-34.6204,79.0775
9.78,585.844,47.944,-35.1366,79.1415
9.79,586.442,47.992,-35.6538,79.2055
9.8,587.04,48.04,-36.1719,79.2696
9.81,587.638,48.088,-36.691,79.3337
9.82,588.236,48.136,-37.2111,79.398
9.83,588.834,48.184,-37.7322,79.4623
9.84,589.432,48.232,-38.2542,79.5266
9.85,590.03,48.28,-38.7773,79.5911
9.86,590.628,48.328,-39.3013,79.6556
9.87,591.226,48.376,-39.8263,79.7201
9.88,591.824,48.424,-40.3522,79.7848
9.89,592.422,48.472,-40.8792,79.8495
9.9,593.02,48.52,-41.4071,79.9142
9.91,593.618,48.568,-41.9361,79.9791
9.92,594.216,48.616,-42.466,80.044
9.93,594.814,48.664,-42.9969,80.109
9.94,595.412,48.712,-43.5287,80.174
9.95,596.01,48.76,-44.0616,80.2391
9.96,596.608,48.808,-44.5954,80.3043
9.97,597.206,48.856,-45.1302,80.3696
9.98,597.804,48.904,-45.666,80.4349
9.99,598.402,48.952,-46.2028,80.5002
10,599,49,-46.7405,80.5657
